x	y	value
873500	1669500	8
873500	1677000	38
873500	1677500	113
874000	1602000	33
874000	1603500	8
874000	1604000	28
874000	1607000	5
874000	1607500	48
874000	1626000	33
874000	1626500	13
874000	1629000	8
874000	1629500	5
874000	1637500	13
874000	1638000	5
874000	1639500	68
874000	1640000	48
874000	1640500	299
874000	1641000	13
874000	1641500	8
874000	1642000	73
874000	1644500	33
874000	1650000	8
874000	1650500	28
874000	1651000	53
874000	1652000	13
874000	1653000	8
874000	1654000	148
874000	1667500	8
874000	1668000	58
874000	1668500	8
874000	1677000	13
874500	1601000	18
874500	1602000	113
874500	1603000	18
874500	1603500	23
874500	1627000	73
874500	1627500	23
874500	1629000	8
874500	1629500	33
874500	1635000	13
874500	1638000	48
874500	1639000	63
874500	1639500	38
874500	1640000	33
874500	1641000	13
874500	1643500	38
874500	1644000	13
874500	1649500	38
874500	1650000	18
874500	1650500	28
874500	1651000	8
874500	1651500	5
874500	1652000	78
874500	1652500	18
874500	1653000	18
874500	1668000	8
874500	1668500	28
875000	1601000	18
875000	1602500	73
875000	1603000	38
875000	1603500	8
875000	1605500	118
875000	1629500	48
875000	1635000	5
875000	1637500	13
875000	1638000	8
875000	1639000	38
875000	1639500	0
875000	1640000	5
875000	1640500	58
875000	1642000	8
875000	1642500	23
875000	1643000	68
875000	1644000	13
875000	1644500	23
875000	1649500	8
875000	1651000	18
875000	1651500	5
875000	1663500	63
875000	1669000	13
875000	1669500	63
875000	1670000	8
875000	1683000	44
875000	1683500	28
875000	1689000	23
875000	1689500	49
875500	1600500	69
875500	1602500	0
875500	1603000	33
875500	1603500	53
875500	1605000	5
875500	1605500	43
875500	1621000	28
875500	1621500	5
875500	1626000	58
875500	1626500	8
875500	1627000	5
875500	1627500	48
875500	1628000	203
875500	1628500	78
875500	1629500	18
875500	1630000	18
875500	1634000	23
875500	1636500	5
875500	1637000	38
875500	1637500	58
875500	1638000	0
875500	1640000	5
875500	1642000	0
875500	1642500	8
875500	1643000	73
875500	1643500	38
875500	1644000	233
875500	1654000	18
875500	1663000	5
875500	1663500	148
875500	1664000	18
875500	1664500	5
875500	1668000	248
875500	1668500	13
875500	1673500	8
875500	1677500	5
875500	1683000	118
875500	1683500	18
875500	1690000	29
875500	1690500	23
876000	1600500	18
876000	1601000	13
876000	1601500	18
876000	1602000	68
876000	1602500	33
876000	1609500	5
876000	1620000	18
876000	1625500	18
876000	1626000	53
876000	1626500	23
876000	1627000	8
876000	1628000	183
876000	1628500	38
876000	1629500	78
876000	1635000	18
876000	1635500	8
876000	1636500	58
876000	1637000	5
876000	1637500	8
876000	1638500	23
876000	1643500	0
876000	1644500	98
876000	1646500	8
876000	1653500	5
876000	1654000	5
876000	1665000	23
876000	1665500	68
876000	1666500	8
876000	1667500	13
876000	1668000	188
876000	1668500	8
876000	1670000	8
876000	1677500	38
876000	1683000	163
876000	1683500	98
876000	1690000	13
876000	1690500	113
876500	1600000	73
876500	1601500	5
876500	1604500	18
876500	1608000	143
876500	1608500	43
876500	1609500	108
876500	1627000	33
876500	1629500	13
876500	1630000	18
876500	1631000	5
876500	1631500	13
876500	1635000	13
876500	1635500	18
876500	1636500	5
876500	1637000	5
876500	1637500	123
876500	1638500	13
876500	1640000	18
876500	1642500	18
876500	1643000	58
876500	1643500	18
876500	1644500	48
876500	1645000	83
876500	1646000	8
876500	1646500	33
876500	1652500	43
876500	1665000	33
876500	1665500	38
876500	1666500	13
876500	1667000	13
876500	1672500	5
876500	1673000	23
876500	1683000	13
876500	1683500	63
876500	1684000	5
876500	1690000	13
877000	1601500	13
877000	1602000	8
877000	1603000	83
877000	1603500	13
877000	1604000	602
877000	1604500	28
877000	1607500	63
877000	1608000	54
877000	1609500	8
877000	1610000	8
877000	1610500	18
877000	1613000	5
877000	1613500	8
877000	1627000	13
877000	1628500	5
877000	1629000	18
877000	1630500	13
877000	1631000	23
877000	1635000	8
877000	1635500	18
877000	1639000	23
877000	1640000	23
877000	1640500	18
877000	1642000	28
877000	1642500	13
877000	1647500	33
877000	1652500	8
877000	1665000	18
877000	1665500	49
877000	1667000	13
877000	1669000	8
877000	1669500	8
877000	1672500	48
877000	1673000	43
877000	1698000	8
877000	1698500	93
877500	1601000	5
877500	1601500	13
877500	1603000	189
877500	1603500	13
877500	1604000	123
877500	1613500	8
877500	1627000	48
877500	1628000	73
877500	1628500	38
877500	1633000	8
877500	1634500	23
877500	1636000	33
877500	1636500	33
877500	1639000	44
877500	1639500	8
877500	1640000	8
877500	1640500	18
877500	1641000	5
877500	1642000	5
877500	1642500	0
877500	1644500	43
877500	1645000	13
877500	1661500	28
877500	1662000	23
877500	1665000	68
877500	1665500	8
877500	1666000	43
877500	1667000	18
877500	1668000	73
877500	1668500	5
877500	1669000	33
877500	1669500	23
877500	1672500	33
877500	1673000	8
877500	1677500	23
877500	1678000	58
878000	1600000	5
878000	1601500	0
878000	1604000	83
878000	1606500	148
878000	1626500	13
878000	1627000	8
878000	1627500	23
878000	1628500	23
878000	1629000	58
878000	1629500	18
878000	1630000	38
878000	1633000	113
878000	1633500	8
878000	1634500	13
878000	1635500	8
878000	1636000	68
878000	1636500	63
878000	1637500	148
878000	1644500	8
878000	1645000	23
878000	1654500	5
878000	1655000	13
878000	1661500	13
878000	1665000	5
878000	1667500	13
878500	1600500	5
878500	1603500	5
878500	1604000	38
878500	1606500	33
878500	1607000	113
878500	1610000	23
878500	1610500	18
878500	1611500	5
878500	1626000	8
878500	1626500	43
878500	1627500	98
878500	1629500	5
878500	1635000	5
878500	1637500	13
878500	1655000	18
878500	1665000	8
878500	1665500	18
878500	1666000	13
878500	1667500	5
878500	1671000	5
878500	1671500	8
878500	1673000	78
878500	1676000	23
878500	1676500	5
878500	1678500	8
879000	1601500	5
879000	1602000	8
879000	1604000	13
879000	1604500	68
879000	1610000	118
879000	1610500	18
879000	1611500	86
879000	1625000	8
879000	1627000	33
879000	1627500	23
879000	1628500	5
879000	1629000	38
879000	1633500	13
879000	1634000	23
879000	1655000	83
879000	1655500	48
879000	1665500	13
879000	1666000	5
879000	1666500	8
879000	1667000	23
879000	1667500	13
879000	1673000	18
879000	1675500	8
879000	1676000	13
879000	1676500	88
879000	1677500	93
879000	1678500	28
879000	1679500	13
879500	1600500	38
879500	1601000	13
879500	1601500	83
879500	1602000	313
879500	1602500	351
879500	1608500	5
879500	1609000	173
879500	1627000	8
879500	1633000	18
