id,name,date,rainfall
301,임자도,2022-08-11,7.5
302,장산도,2022-07-12,0
302,장산도,2022-07-13,0
302,장산도,2022-07-14,2.5
302,장산도,2022-07-15,0
302,장산도,2022-07-16,0
302,장산도,2022-07-17,0
302,장산도,2022-07-18,85.5
302,장산도,2022-07-19,0
302,장산도,2022-07-20,6
302,장산도,2022-07-21,4.5
302,장산도,2022-07-22,0
302,장산도,2022-07-23,8
302,장산도,2022-07-24,13
302,장산도,2022-07-25,0
302,장산도,2022-07-26,0
302,장산도,2022-07-27,0
302,장산도,2022-07-28,0
302,장산도,2022-07-29,0
302,장산도,2022-07-30,7
302,장산도,2022-07-31,7
302,장산도,2022-08-01,16.5
302,장산도,2022-08-02,.5
302,장산도,2022-08-03,.5
302,장산도,2022-08-04,0
302,장산도,2022-08-05,0
302,장산도,2022-08-06,0
302,장산도,2022-08-07,0
302,장산도,2022-08-08,0
302,장산도,2022-08-09,0
302,장산도,2022-08-10,0
302,장산도,2022-08-11,1
303,가거도,2022-07-12,0
303,가거도,2022-07-13,0
303,가거도,2022-07-14,3
303,가거도,2022-07-15,7
303,가거도,2022-07-16,0
303,가거도,2022-07-17,.5
303,가거도,2022-07-18,80
303,가거도,2022-07-19,0
303,가거도,2022-07-20,8.5
303,가거도,2022-07-21,0
303,가거도,2022-07-22,0
303,가거도,2022-07-23,2.5
303,가거도,2022-07-24,0
303,가거도,2022-07-25,0
303,가거도,2022-07-26,0
303,가거도,2022-07-27,0
303,가거도,2022-07-28,0
303,가거도,2022-07-29,0
303,가거도,2022-07-30,18.5
303,가거도,2022-07-31,16
303,가거도,2022-08-01,9
303,가거도,2022-08-02,0
303,가거도,2022-08-03,0
303,가거도,2022-08-04,0
303,가거도,2022-08-05,0
303,가거도,2022-08-06,0
303,가거도,2022-08-07,0
303,가거도,2022-08-08,0
303,가거도,2022-08-09,0
303,가거도,2022-08-10,0
303,가거도,2022-08-11,0
304,신지도,2022-07-12,0
304,신지도,2022-07-13,0
304,신지도,2022-07-14,1.5
304,신지도,2022-07-15,0
304,신지도,2022-07-16,0
304,신지도,2022-07-17,.5
304,신지도,2022-07-18,52.5
304,신지도,2022-07-19,0
304,신지도,2022-07-20,.5
304,신지도,2022-07-21,7.5
304,신지도,2022-07-22,0
304,신지도,2022-07-23,.5
304,신지도,2022-07-24,14.5
304,신지도,2022-07-25,0
304,신지도,2022-07-26,0
304,신지도,2022-07-27,0
304,신지도,2022-07-28,0
304,신지도,2022-07-29,0
304,신지도,2022-07-30,4.5
304,신지도,2022-07-31,28
304,신지도,2022-08-01,5
304,신지도,2022-08-02,18.5
304,신지도,2022-08-03,0
304,신지도,2022-08-04,0
304,신지도,2022-08-05,.5
304,신지도,2022-08-06,0
304,신지도,2022-08-07,0
304,신지도,2022-08-08,0
304,신지도,2022-08-09,0
304,신지도,2022-08-10,0
304,신지도,2022-08-11,0
