id	lon	lat
552	127.4245	38.2722
553	128.4281	38.4924
554	128.4371	38.2144
555	127.7029	38.0964
556	127.9853	38.098
557	128.3186	37.9526
558	127.7007	37.6861
559	128.3973	37.7781
560	128.5645	37.6479
561	128.1528	37.5822
562	128.2694	37.2753
563	128.6828	37.4636
565	126.778	37.3915
566	128.8192	37.8516
567	126.9318	37.9533
568	127.3135	37.9588
569	127.157	37.5822
570	126.6423	37.6232
571	126.8209	37.1953
572	127.1248	37.4209
573	127.7135	37.5582
574	127.5871	37.3694
575	127.1877	37.1058
576	127.3663	37.1297
577	126.3365	37.5341
578	126.2663	36.3012
579	128.9133	37.3668
580	129.0289	37.6135
581	128.7744	37.1166
582	128.0799	37.2315
583	128.1551	37.4646
584	128.7245	37.4711
585	128.0742	37.96
586	127.8769	38.0321
587	127.9533	38.2264
588	127.6429	37.7907
589	126.7903	37.7024
590	127.0025	37.4403
591	128.0505	37.4155
592	127.7487	37.2316
593	128.5407	38.0073
594	128.21	38.2533
595	128.3742	38.2641
596	128.4933	38.077
597	128.4411	37.5455
598	126.9905	37.8312
599	127.1698	37.7617
600	127.5897	36.9737
601	128.3669	36.9855
602	127.4625	36.8634
603	127.7776	36.8161
604	127.5966	36.2999
605	127.7598	36.1631
606	126.3881	37.0106
607	126.1354	36.6731
608	126.6451	36.6277
609	126.3562	36.338
610	126.4424	36.52
611	127.2806	36.5667
612	127.1365	36.4828
614	126.7041	36.0625
615	127.1082	36.2116
616	126.6174	36.8894
617	127.1561	36.8782
618	126.7791	36.4237
619	127.7024	36.923
620	127.9035	37.0737
621	128.2142	36.9733
622	128.0079	36.8391
623	127.562	36.7956
624	127.6571	36.6244
625	127.8167	36.5172
626	127.8154	36.3705
627	126.2964	36.7585
628	126.8144	36.7421
629	127.2005	36.6908
630	127.7997	37.0457
631	126.6154	37.3478
632	126.9336	36.5407
633	127.0938	36.5511
634	126.8654	36.8458
635	126.8602	36.1319
636	127.2407	36.3132
637	126.8238	36.879
638	128.4847	37.0835
639	128.1456	36.9043
640	127.8654	36.6709
641	127.5239	36.5461
642	127.3959	36.2913
643	127.4938	36.3402
644	127.09	36.1366
645	126.511	36.5789
646	126.5285	36.1741
647	127.6924	36.125
648	127.4382	36.4135
649	126.7507	37.4722
650	127.2774	38.2726
651	127.2057	38.2772
652	127.0727	37.99
654	126.3076	37.254
655	124.7291	37.7602
656	126.1933	37.6872
657	126.5021	36.3244
658	126.1214	36.7683
659	127.2057	36.343
660	128.3776	37.562
661	128.4019	38.5425
662	126.297	37.1706
663	125.7869	36.9286
664	126.4584	37.2247
665	126.4252	37.3904
666	126.1683	36.9587
667	126.0093	36.6476
669	126.0758	36.2292
670	128.6295	38.0887
671	128.5936	38.1909
672	126.4884	35.4424
673	128.7175	35.2822
674	128.8214	37.2196
675	127.5277	37.7898
676	127.4299	36.9906
677	129.0213	37.5173
678	128.7786	37.7248
679	128.773	37.6105
680	127.8447	38.2128
681	127.8117	38.2438
682	127.8647	38.2806
683	127.4655	36.7248
684	127.7763	37.9546
685	126.4893	33.2613
686	128.1547	35.2439
687	127.2528	35.1262
688	126.9391	35.2688
689	126.8985	35.1008
690	127.1394	35.3361
691	126.9565	36.3862
692	126.9245	38.0404
693	127.4401	36.7232
694	126.6094	36.7044
695	127.432	38.1162
696	129.0861	37.3466
697	125.9183	34.2506
698	126.2851	35.0938
699	126.4611	34.9838
700	125.9682	36.1251
701	127.6684	36.0017
702	126.9925	35.9381
703	127.4374	35.7604
704	126.4776	35.621
706	126.9727	35.3102
707	126.2084	35.058
708	126.7452	35.1289
709	127.4936	35.2081
710	126.744	35.025
711	126.9898	34.8971
712	127.5193	34.9035
713	127.5826	34.9751
714	126.0287	34.8791
715	126.2585	34.4731
716	126.032	34.6307
717	126.3098	34.4275
718	126.0365	34.333
719	126.3977	35.8088
720	126.5499	34.1549
721	127.0283	34.339
722	126.9288	35.1368
723	127.309	34.0279
724	126.3016	33.9578
725	126.9541	33.5229
726	126.2679	33.1221
727	126.3929	33.4099
729	127.13	35.38
730	126.7611	35.2794
731	126.6863	34.8167
732	127.0921	34.7619
733	126.8917	36.0461
734	127.2457	35.9855
735	127.7731	35.8942
736	126.784	35.8468
737	126.8777	35.8091
738	126.6739	35.5795
739	126.5467	35.5225
741	126.9852	35.0567
742	126.3306	34.9389
743	125.9469	34.7726
744	126.4365	34.6725
745	126.7048	34.6998
746	126.5159	34.3818
747	126.858	34.1829
748	127.3631	34.8369
749	127.1272	34.5347
750	127.6357	34.6278
751	126.709	33.4821
752	126.306	33.3046
753	126.4959	33.393
754	126.5273	35.0604
755	127.0853	35.1596
756	126.282	35.6015
757	127.436	35.9744
758	127.5712	35.8352
759	127.5783	35.3716
760	126.9327	35.4274
761	126.9346	35.6508
762	127.1261	35.5198
763	127.062	36.0592
764	127.1414	35.6736
765	127.1345	34.8923
766	127.715	34.8495
767	127.3975	34.5885
768	127.2853	35.2889
769	126.3834	35.1993
770	126.8278	34.9476
771	126.1446	34.7269
772	126.2396	34.5321
773	126.6359	34.7085
774	126.4662	34.8175
775	126.6354	35.1777
776	126.5531	34.4667
777	126.9346	34.5563
778	126.8218	34.7959
779	126.2581	33.3927
780	126.7044	33.2772
781	126.8777	33.5199
782	126.6194	33.3851
783	126.8408	35.2303
784	126.6126	34.8772
785	126.6763	34.4638
786	127.7741	34.6381
787	127.3172	34.5067
788	126.8813	35.1316
789	126.2929	34.8764
790	127.4674	34.5326
791	127.5838	35.2662
792	126.8168	33.3536
793	126.2263	33.241
794	127.4274	35.1007
795	127.139	35.2753
796	127.2448	34.2378
797	125.2995	34.395
798	125.1924	34.6855
799	126.1376	35.2022
800	129.4437	36.7257
801	129.088	36.625
802	129.3401	36.7574
803	128.8115	36.3947
804	129.3392	36.1906
805	129.0943	36.1793
806	128.2903	36.2334
807	128.6932	36.1797
808	129.5667	36.076
809	127.9792	35.9354
810	128.2985	35.9255
811	129.2093	35.863
811	129.2093	35.863
812	128.2821	35.696
813	128.7318	35.654
814	128.661	36.9792
815	128.4646	36.66
816	129.5475	35.9831
817	129.2212	36.7827
818	128.1479	36.7078
819	128.8864	36.6588
820	128.5267	36.5482
821	128.0739	36.2819
822	128.1017	36.0813
823	128.5558	36.2493
824	128.5001	36.0956
825	128.3813	36.0398
826	128.79	36.0471
827	128.743	35.8243
828	128.4238	35.6902
829	129.3182	35.7121
830	129.1996	36.0689
831	128.9971	37.0401
832	128.4286	36.3907
833	128.0419	36.5383
834	127.9442	36.4412
835	128.716	36.8932
836	128.8955	36.2795
837	128.6429	36.8268
838	128.2705	36.7907
839	128.8954	36.4583
840	128.8144	35.9125
841	128.9111	36.0849
842	129.011	35.7576
843	129.2501	36.9361
844	129.3586	36.4355
845	128.5907	35.9084
846	128.531	35.8651
847	128.4664	36.2762
848	128.8953	35.6792
849	128.3871	36.5469
850	129.4906	35.7847
851	129.3521	37.0514
852	129.426	37.0606
853	128.6213	36.0183
854	129.1336	35.4953
855	126.2683	33.1733
856	127.5982	35.1018
857	126.7174	34.3
858	126.1701	34.4296
859	129.3687	35.7549
860	128.619	35.8852
861	126.7781	33.5623
862	126.7792	33.4706
863	126.4317	33.4769
864	127.155	35.8215
865	126.522	33.4577
866	126.5978	33.4302
867	126.5305	33.3769
868	126.498	33.376
869	126.4964	33.3483
870	126.5557	33.3698
871	126.5181	33.3623
872	127.7564	35.3192
873	127.9702	37.2557
874	127.2197	38.1416
875	128.4606	38.1211
876	129.1621	37.45
877	127.8049	37.3134
878	129.0961	37.2238
879	128.6796	37.6605
880	126.3237	33.3328
881	126.5289	35.7295
882	126.6042	35.2518
883	126.3599	33.3623
884	126.5176	33.2593
885	126.6785	33.3314
886	126.5912	35.9505
887	127.2897	36.5033
888	127.4908	36.4627
889	126.9765	37.5004
890	126.7336	33.3854
891	126.4223	33.2913
892	126.8513	33.4501
893	126.3275	33.4659
898	129.386	35.5049
899	128.5821	35.2236
900	129.1436	35.6203
901	129.4353	35.4868
902	127.819	35.2423
903	128.5149	35.4039
904	128.9675	35.137
905	129.0429	35.4414
906	127.6427	35.2324
907	128.0631	34.9321
908	128.7537	35.1122
909	128.7383	34.7877
910	129.0742	35.0661
911	128.5772	34.6489
912	127.7784	35.5263
913	127.9816	34.7238
914	127.7156	35.6376
915	128.1018	35.4135
916	127.967	35.3111
917	128.0677	35.0369
918	128.3309	34.9905
919	128.4767	35.5514
920	128.3994	35.2961
921	128.8314	34.9931
922	128.9291	35.4865
923	129.2511	35.2751
924	129.3603	35.3587
925	128.823	35.3744
926	128.4748	35.1262
927	128.8837	35.582
928	129.1731	35.4162
929	128.307	35.1137
930	128.2381	34.8099
931	128.2735	34.6223
932	127.7666	35.0606
933	127.8324	34.9968
934	127.9285	35.2214
935	128.3411	35.5698
936	128.2023	35.3326
937	129.1624	35.1761
938	129.0193	35.1589
939	129.1035	35.2932
940	129.0901	35.2091
941	129.0026	35.213
942	129.0884	35.1186
943	129.3753	35.6674
944	128.5701	35.3852
945	127.9901	35.5345
946	127.8183	35.78
947	128.5908	34.7219
948	127.8345	35.3107
949	129.4412	35.6375
950	128.9839	35.09
951	126.9073	35.5087
953	128.6798	34.9984
954	129.3601	35.431
964	126.8157	34.459
965	126.533	33.3524
966	126.3856	37.1161
967	126.6128	37.1189
968	129.045	35.081
969	129.127	35.091
970	127.2502	38.2016
973	126.9496	35.0233
974	128.1561	35.2444
978	127.7763	37.9546
980	126.4895	33.2606
989	126.3299	33.2579
990	126.2305	33.3182
991	128.4456	35.8028
992	128.4464	35.9062
